epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,1399.75,0.31029,1.25668,0.85069,0.89476,0.61684,0.77656,0.73989,0.2971,1.09597,0.82376,3.4736e-05,3.4736e-05,3.4736e-05
42,1435.88,0.29706,1.21549,0.84851,0.76698,0.72308,0.77316,0.73568,0.29952,1.08435,0.82256,3.14294e-05,3.14294e-05,3.14294e-05
43,1470.48,0.29426,1.22888,0.83277,0.77727,0.71066,0.78598,0.75161,0.29683,1.09226,0.82277,2.81228e-05,2.81228e-05,2.81228e-05
44,1504.41,0.29675,1.2676,0.83937,0.8044,0.67829,0.78602,0.75295,0.29371,1.08342,0.82225,2.48162e-05,2.48162e-05,2.48162e-05
45,1538.11,0.29149,1.22648,0.8352,0.85047,0.67205,0.79132,0.75849,0.29323,1.06681,0.82164,2.15096e-05,2.15096e-05,2.15096e-05
46,1572.42,0.28809,1.17125,0.83709,0.8771,0.66203,0.79806,0.76304,0.29279,1.05328,0.82147,1.8203e-05,1.8203e-05,1.8203e-05
47,1608.54,0.28068,1.13742,0.83366,0.86954,0.67463,0.79113,0.75591,0.29014,1.04601,0.82003,1.48964e-05,1.48964e-05,1.48964e-05
48,1639.06,0.28906,1.14873,0.84242,0.8569,0.68785,0.79357,0.75963,0.28912,1.04432,0.82008,1.15898e-05,1.15898e-05,1.15898e-05
49,1672.13,0.28246,1.12881,0.84348,0.84829,0.68455,0.79214,0.75529,0.28786,1.03597,0.81913,8.2832e-06,8.2832e-06,8.2832e-06
50,1702.1,0.28146,1.13795,0.83488,0.86161,0.69047,0.79456,0.76015,0.28638,1.03126,0.8188,4.9766e-06,4.9766e-06,4.9766e-06
