epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,4484.92,0.2615,0.31884,0.85776,0.97713,0.98329,0.99467,0.98842,0.19506,0.21125,0.78791,2.06405e-05,2.06405e-05,2.06405e-05
41,4610.13,0.21839,0.25303,0.82258,0.97398,0.98372,0.99467,0.98805,0.18084,0.20568,0.78622,1.74576e-05,1.74576e-05,1.74576e-05
42,4715.49,0.21693,0.25311,0.82707,0.97437,0.98469,0.99489,0.99055,0.19787,0.20717,0.78818,1.45386e-05,1.45386e-05,1.45386e-05
43,4820.65,0.20132,0.23758,0.817,0.977,0.98503,0.99456,0.99051,0.17751,0.20345,0.78486,1.18951e-05,1.18951e-05,1.18951e-05
44,4929.01,0.20167,0.24069,0.82722,0.97817,0.98628,0.99453,0.99014,0.18507,0.20335,0.78593,9.53747e-06,9.53747e-06,9.53747e-06
45,5028.64,0.19869,0.23715,0.82027,0.97811,0.9881,0.99486,0.99005,0.17748,0.20268,0.78378,7.47503e-06,7.47503e-06,7.47503e-06
46,5136.21,0.20088,0.24193,0.82294,0.97791,0.98919,0.99487,0.99004,0.17678,0.20283,0.78354,5.71591e-06,5.71591e-06,5.71591e-06
47,5240.36,0.19577,0.23329,0.82005,0.97887,0.98936,0.99487,0.99053,0.17665,0.20211,0.78391,4.26707e-06,4.26707e-06,4.26707e-06
48,5346.58,0.19507,0.2332,0.81679,0.97931,0.98951,0.99488,0.99054,0.17605,0.2006,0.78377,3.13422e-06,3.13422e-06,3.13422e-06
49,5462.55,0.19192,0.22877,0.8114,0.97779,0.98981,0.99489,0.99058,0.1782,0.20076,0.78423,2.32184e-06,2.32184e-06,2.32184e-06
50,5575.94,0.19588,0.23482,0.81719,0.97906,0.9892,0.99487,0.99059,0.17698,0.20019,0.78437,1.83312e-06,1.83312e-06,1.83312e-06
